Reporter;TradeFlow;ProductCode;Product Description;Year;Partner;Trade Value 1000USD;Quantity;Quantity Unit
United States;Export;130213;"Vegetable saps and extracts; of hops";2019; World;178485;5108160;Kg
Germany;Export;130213;"Vegetable saps and extracts; of hops";2019; World;162377;4229240;Kg
European Union;Export;130213;"Vegetable saps and extracts; of hops";2019; World;105851;2826270;Kg
United Kingdom;Export;130213;"Vegetable saps and extracts; of hops";2019; World;35153;1893000;Kg
Hong Kong - China;Export;130213;"Vegetable saps and extracts; of hops";2019; World;3572;114905;Kg
China;Export;130213;"Vegetable saps and extracts; of hops";2019; World;3141;131556;Kg
Belgium;Export;130213;"Vegetable saps and extracts; of hops";2019; World;2287;80992;Kg
Denmark;Export;130213;"Vegetable saps and extracts; of hops";2019; World;2056;606185;Kg
Italy;Export;130213;"Vegetable saps and extracts; of hops";2019; World;1637;20013;Kg
France;Export;130213;"Vegetable saps and extracts; of hops";2019; World;1182;24231;Kg
Australia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;989;88661;Kg
Netherlands;Export;130213;"Vegetable saps and extracts; of hops";2019; World;816;44840;Kg
New Zealand;Export;130213;"Vegetable saps and extracts; of hops";2019; World;792;34499;Kg
Brazil;Export;130213;"Vegetable saps and extracts; of hops";2019; World;765;21791;Kg
Czech Republic;Export;130213;"Vegetable saps and extracts; of hops";2019; World;728;10070;Kg
Peru;Export;130213;"Vegetable saps and extracts; of hops";2019; World;550;5702;Kg
Spain;Export;130213;"Vegetable saps and extracts; of hops";2019; World;435;17602;Kg
Slovenia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;294;5094;Kg
Namibia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;286;;
Portugal;Export;130213;"Vegetable saps and extracts; of hops";2019; World;232;5001;Kg
Bolivia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;208;11040;Kg
Poland;Export;130213;"Vegetable saps and extracts; of hops";2019; World;202;15779;Kg
Ireland;Export;130213;"Vegetable saps and extracts; of hops";2019; World;189;10233;Kg
Belarus;Export;130213;"Vegetable saps and extracts; of hops";2019; World;144;43600;Kg
South Africa;Export;130213;"Vegetable saps and extracts; of hops";2019; World;101;7336;Kg
Colombia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;88;3738;Kg
Ecuador;Export;130213;"Vegetable saps and extracts; of hops";2019; World;82;3600;Kg
Singapore;Export;130213;"Vegetable saps and extracts; of hops";2019; World;54;389;Kg
Panama;Export;130213;"Vegetable saps and extracts; of hops";2019; World;53;1351;Kg
Lithuania;Export;130213;"Vegetable saps and extracts; of hops";2019; World;50;1007;Kg
Thailand;Export;130213;"Vegetable saps and extracts; of hops";2019; World;44;745;Kg
Mozambique;Export;130213;"Vegetable saps and extracts; of hops";2019; World;43;40;Kg
Estonia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;37;821;Kg
Cote d'Ivoire;Export;130213;"Vegetable saps and extracts; of hops";2019; World;33;590;Kg
Ukraine;Export;130213;"Vegetable saps and extracts; of hops";2019; World;22;740;Kg
Switzerland;Export;130213;"Vegetable saps and extracts; of hops";2019; World;16;282088;Kg
Hungary;Export;130213;"Vegetable saps and extracts; of hops";2019; World;15;500;Kg
Japan;Export;130213;"Vegetable saps and extracts; of hops";2019; World;15;61;Kg
Russian Federation;Export;130213;"Vegetable saps and extracts; of hops";2019; World;12;1480;Kg
Austria;Export;130213;"Vegetable saps and extracts; of hops";2019; World;12;231;Kg
Croatia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;11;706;Kg
Vietnam;Export;130213;"Vegetable saps and extracts; of hops";2019; World;11;256672;Kg
Turkey;Export;130213;"Vegetable saps and extracts; of hops";2019; World;11;3720;Kg
Ethiopia(excludes Eritrea);Export;130213;"Vegetable saps and extracts; of hops";2019; World;10;3872;Kg
Nicaragua;Export;130213;"Vegetable saps and extracts; of hops";2019; World;8;212;Kg
Sweden;Export;130213;"Vegetable saps and extracts; of hops";2019; World;7;171712;Kg
Serbia - FR(Serbia/Montenegro);Export;130213;"Vegetable saps and extracts; of hops";2019; World;5;320;Kg
Kenya;Export;130213;"Vegetable saps and extracts; of hops";2019; World;5;125;Kg
Korea - Rep.;Export;130213;"Vegetable saps and extracts; of hops";2019; World;2;351;Kg
India;Export;130213;"Vegetable saps and extracts; of hops";2019; World;2;5;Kg
Israel;Export;130213;"Vegetable saps and extracts; of hops";2019; World;2;47;Kg
Malaysia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;2;3556;Kg
Honduras;Export;130213;"Vegetable saps and extracts; of hops";2019; World;2;57;Kg
Canada;Export;130213;"Vegetable saps and extracts; of hops";2019; World;1;485;Kg
Bosnia and Herzegovina;Export;130213;"Vegetable saps and extracts; of hops";2019; World;1;60;Kg
Philippines;Export;130213;"Vegetable saps and extracts; of hops";2019; World;1;40;Kg
Ghana;Export;130213;"Vegetable saps and extracts; of hops";2019; World;1;1646;Kg
Luxembourg;Export;130213;"Vegetable saps and extracts; of hops";2019; World;0;1;Kg
Jamaica;Export;130213;"Vegetable saps and extracts; of hops";2019; World;0;8;Kg
